accuracy,precision,recall,f1,auc,best_threshold,opt_accuracy,opt_precision,opt_recall,opt_f1,actual_epochs,hidden_units,n_layers,learning_rate,dropout_rate,weight_positives,class_weight_value,n_epochs,batch_size,early_stopping_patience,seed
0.969309462915601,0.7692307692307693,0.3225806451612903,0.45454545454545453,0.780851338000945,0.4133727175080559,0.9705882352941176,0.75,0.3870967741935484,0.5106382978723404,6,50,1,0.001,0.3,True,3.0,10,64,2,2
0.9680306905370843,0.7142857142857143,0.3225806451612903,0.4444444444444444,0.7858768953223659,0.26127819548872183,0.9616368286445013,0.5172413793103449,0.4838709677419355,0.5,7,50,1,0.001,0.3,True,3.0,10,64,2,3
0.969309462915601,0.7333333333333333,0.3548387096774194,0.4782608695652174,0.792019243159658,0.4812567132116004,0.969309462915601,0.7333333333333333,0.3548387096774194,0.4782608695652174,7,50,1,0.001,0.3,True,5.0,10,64,2,1
0.969309462915601,0.7333333333333333,0.3548387096774194,0.4782608695652174,0.7692968515098149,0.45547798066595063,0.969309462915601,0.7333333333333333,0.3548387096774194,0.4782608695652174,7,50,1,0.001,0.3,True,5.0,10,64,2,2
0.9680306905370843,0.7142857142857143,0.3225806451612903,0.4444444444444444,0.7714445255787983,0.37534908700322234,0.9667519181585678,0.631578947368421,0.3870967741935484,0.48,7,50,1,0.001,0.3,True,5.0,10,64,2,3
0.9680306905370843,0.6666666666666666,0.3870967741935484,0.4897959183673469,0.7718740603925948,0.46772287862513434,0.9680306905370843,0.6666666666666666,0.3870967741935484,0.4897959183673469,7,50,1,0.001,0.3,True,8.0,10,64,2,1
0.9680306905370843,0.6875,0.3548387096774194,0.46808510638297873,0.7722176882436321,0.6185284640171859,0.9705882352941176,0.7857142857142857,0.3548387096774194,0.4888888888888889,7,50,1,0.001,0.3,True,8.0,10,64,2,2
0.9641943734015346,0.5882352941176471,0.3225806451612903,0.4166666666666667,0.761694085305614,0.3957572502685285,0.9578005115089514,0.4583333333333333,0.3548387096774194,0.4,8,50,1,0.001,0.3,True,8.0,10,64,2,3
0.9744245524296675,0.8666666666666667,0.41935483870967744,0.5652173913043478,0.7878527554658304,0.37610096670247045,0.9757033248081841,0.8333333333333334,0.4838709677419355,0.6122448979591837,6,50,1,0.001,0.5,True,3.0,10,64,2,1
0.9718670076726342,0.8461538461538461,0.3548387096774194,0.5,0.7909024526437867,0.3373254564983888,0.9718670076726342,0.7647058823529411,0.41935483870967744,0.5416666666666666,7,50,1,0.001,0.5,True,3.0,10,64,2,2
0.9680306905370843,0.7142857142857143,0.3225806451612903,0.4444444444444444,0.7910742665693055,0.37534908700322234,0.9705882352941176,0.75,0.3870967741935484,0.5106382978723404,9,50,1,0.001,0.5,True,3.0,10,64,2,3
0.9705882352941176,0.7857142857142857,0.3548387096774194,0.4888888888888889,0.7922340105665564,0.377389903329753,0.9744245524296675,0.7619047619047619,0.5161290322580645,0.6153846153846154,6,50,1,0.001,0.5,True,5.0,10,64,2,1
0.9680306905370843,0.6875,0.3548387096774194,0.46808510638297873,0.7778875477857481,0.4072502685284641,0.9680306905370843,0.65,0.41935483870967744,0.5098039215686274,8,50,1,0.001,0.5,True,5.0,10,64,2,2
0.969309462915601,0.7058823529411765,0.3870967741935484,0.5,0.7815385937030196,0.4656820622986037,0.969309462915601,0.7058823529411765,0.3870967741935484,0.5,8,50,1,0.001,0.5,True,5.0,10,64,2,3
0.9654731457800512,0.625,0.3225806451612903,0.425531914893617,0.7831278725140672,0.5139097744360902,0.9680306905370843,0.7142857142857143,0.3225806451612903,0.4444444444444444,7,50,1,0.001,0.5,True,8.0,10,64,2,1
0.9680306905370843,0.6875,0.3548387096774194,0.46808510638297873,0.7782741291181651,0.5417293233082706,0.969309462915601,0.7333333333333333,0.3548387096774194,0.4782608695652174,8,50,1,0.001,0.5,True,8.0,10,64,2,2
0.9705882352941176,0.7222222222222222,0.41935483870967744,0.5306122448979592,0.7714445255787982,0.4955424274973147,0.9705882352941176,0.7222222222222222,0.41935483870967744,0.5306122448979592,7,50,1,0.001,0.5,True,8.0,10,64,2,3
0.9680306905370843,0.7142857142857143,0.3225806451612903,0.4444444444444444,0.7780593617112667,0.3197099892588614,0.9705882352941176,0.7222222222222222,0.41935483870967744,0.5306122448979592,9,50,1,0.0005,0.2,True,3.0,10,64,2,1
0.9667519181585678,0.6923076923076923,0.2903225806451613,0.4090909090909091,0.7873802671706542,0.28576799140708914,0.9667519181585678,0.6,0.4838709677419355,0.5357142857142857,9,50,1,0.0005,0.2,True,3.0,10,64,2,2
0.9680306905370843,0.7142857142857143,0.3225806451612903,0.4444444444444444,0.7793909196340364,0.23958109559613322,0.9578005115089514,0.47058823529411764,0.5161290322580645,0.49230769230769234,9,50,1,0.0005,0.2,True,3.0,10,64,2,3
0.9667519181585678,0.6666666666666666,0.3225806451612903,0.43478260869565216,0.7846741978437353,0.46772287862513434,0.9667519181585678,0.6666666666666666,0.3225806451612903,0.43478260869565216,9,50,1,0.0005,0.2,True,5.0,10,64,2,1
0.9667519181585678,0.6666666666666666,0.3225806451612903,0.43478260869565216,0.7759116876422834,0.3638560687432868,0.9641943734015346,0.56,0.45161290322580644,0.5,10,50,1,0.0005,0.2,True,5.0,10,64,2,2
0.9680306905370843,0.6875,0.3548387096774194,0.46808510638297873,0.7862634766547828,0.3516111707841031,0.9654731457800512,0.5909090909090909,0.41935483870967744,0.49056603773584906,10,50,1,0.0005,0.2,True,5.0,10,64,2,3
