hidden_units,n_layers,learning_rate,dropout_rate,weight_positives,class_weight_value,n_epochs,batch_size,early_stopping_patience,accuracy,precision,recall,f1,auc,best_threshold,opt_accuracy,opt_precision,opt_recall,opt_f1,actual_epochs,seed
100,1,0.0005,0.3,True,3.0,10,64,2,0.9714407502131287,0.7968253968253968,0.3763440860215053,0.5111111111111111,0.7827699268359035,0.330343716433942,0.9718670076726342,0.7373294346978557,0.4516129032258065,0.5598879551820728,7.0,2.0
100,1,0.0005,0.5,True,3.0,10,64,2,0.9688832054560955,0.7508547008547009,0.3225806451612903,0.4504703250911542,0.7759832767779162,0.3321339061940565,0.9714407502131287,0.7315525243913991,0.4516129032258065,0.5562169312169312,8.333333333333334,2.0
100,1,0.001,0.3,True,3.0,10,64,2,0.9697357203751066,0.7619047619047619,0.3440860215053763,0.47407407407407404,0.7873373136892745,0.37015753669889007,0.9722932651321399,0.7631578947368421,0.4408602150537635,0.5552706552706552,5.0,2.0
50,1,0.001,0.5,True,3.0,10,64,2,0.9714407502131287,0.8090354090354092,0.3655913978494623,0.5032206119162641,0.7899431582263076,0.3629251700680272,0.9727195225916453,0.7826797385620915,0.43010752688172044,0.5548499541660635,7.333333333333333,2.0
100,2,0.0005,0.3,True,5.0,10,64,2,0.9697357203751066,0.7277777777777779,0.38709677419354843,0.5032679738562091,0.7819251750354366,0.424937343358396,0.9705882352941176,0.7013305322128852,0.4623655913978495,0.5546814296814296,6.0,2.0
50,2,0.0005,0.2,True,5.0,10,64,2,0.9697357203751066,0.7088493292053664,0.39784946236559143,0.5090661938534279,0.7862777944819094,0.4099713569638382,0.9710144927536232,0.7155080213903743,0.4516129032258065,0.5522413367862868,6.666666666666667,2.0
50,1,0.0005,0.5,True,3.0,10,64,2,0.9684569479965899,0.7326007326007327,0.3225806451612903,0.4478114478114478,0.7797631831393268,0.3346043680630147,0.9714407502131287,0.7425925925925926,0.43010752688172044,0.5436954923813496,9.666666666666666,2.0
50,2,0.001,0.3,True,5.0,10,64,2,0.9693094629156009,0.6944444444444443,0.40860215053763443,0.5129652515670752,0.7956989247311829,0.4547977085571071,0.9705882352941178,0.709551656920078,0.44086021505376344,0.5432967032967033,5.666666666666667,2.0
50,2,0.0005,0.3,True,5.0,10,64,2,0.9697357203751066,0.7193627450980392,0.38709677419354843,0.5032505910165485,0.7796772761765673,0.38691371285356246,0.9705882352941178,0.706140350877193,0.4408602150537635,0.5427450980392158,7.333333333333333,2.0
50,1,0.001,0.5,True,5.0,10,64,2,0.9693094629156009,0.7263655462184874,0.3655913978494623,0.4856579984239559,0.7838867173517747,0.41677407805227357,0.9705882352941176,0.7059290382819795,0.44086021505376344,0.5417295123177476,7.333333333333333,2.0
100,2,0.001,0.3,True,5.0,10,64,2,0.9693094629156009,0.6864522417153996,0.41935483870967744,0.5204108309990663,0.8003522185473133,0.5249731471535983,0.9714407502131287,0.75,0.41935483870967744,0.537559704732957,4.666666666666667,2.0
50,2,0.001,0.5,True,8.0,10,64,2,0.9705882352941176,0.7237128769636509,0.41935483870967744,0.5307596371882086,0.7855762209527081,0.4953634085213033,0.9705882352941176,0.7163054695562435,0.43010752688172044,0.5368954248366014,7.666666666666667,2.0
100,1,0.0005,0.2,True,3.0,10,64,2,0.96845694799659,0.7196581196581197,0.3333333333333333,0.4552042160737813,0.7793336483255301,0.35816326530612247,0.9710144927536232,0.7378740970072238,0.41935483870967744,0.5344444444444444,7.333333333333333,2.0
50,1,0.001,0.3,True,3.0,10,64,2,0.9693094629156009,0.7564102564102564,0.3333333333333333,0.46262626262626255,0.7840728491044199,0.3362155388471178,0.96845694799659,0.6724137931034483,0.4516129032258065,0.5329578639966625,6.0,2.0
